user_id,timestamp,cctv_location
user-4,2024-01-02 15:14:27,CCTV-4
user-2,2024-01-02 15:14:28,CCTV-3
user-1,2024-01-02 15:14:29,CCTV-3
user-2,2024-01-02 15:14:30,CCTV-5
user-1,2024-01-02 15:14:31,CCTV-5
user-5,2024-01-02 15:14:32,CCTV-3
user-2,2024-01-02 15:14:33,CCTV-4
user-2,2024-01-02 15:14:34,CCTV-2
user-11,2024-01-02 15:25:46,CCTV-40
user-38,2024-01-02 15:25:47,CCTV-33
user-35,2024-01-02 15:25:48,CCTV-4
user-38,2024-01-02 15:25:49,CCTV-35
user-20,2024-01-02 15:25:50,CCTV-48
user-16,2024-01-02 15:25:51,CCTV-28
user-48,2024-01-02 15:25:52,CCTV-38
user-11,2024-01-02 15:25:53,CCTV-15
user-4,2024-01-02 15:25:54,CCTV-18
user-16,2024-01-02 15:25:55,CCTV-33
user-27,2024-01-02 15:25:56,CCTV-17
user-31,2024-01-02 15:25:57,CCTV-40
user-20,2024-01-02 15:25:58,CCTV-14
user-40,2024-01-02 15:25:59,CCTV-42
user-23,2024-01-02 15:26:00,CCTV-36
user-39,2024-01-02 15:26:01,CCTV-42
user-41,2024-01-02 15:26:02,CCTV-38
user-3,2024-01-02 15:26:03,CCTV-12
user-26,2024-01-02 15:26:04,CCTV-26
user-44,2024-01-02 15:26:05,CCTV-47
user-14,2024-01-02 15:26:06,CCTV-28
user-32,2024-01-02 15:26:07,CCTV-29
user-33,2024-01-02 15:26:08,CCTV-28
user-47,2024-01-02 15:26:09,CCTV-19
user-42,2024-01-02 15:26:10,CCTV-41
user-41,2024-01-02 15:26:11,CCTV-12
user-20,2024-01-02 15:26:12,CCTV-1
user-46,2024-01-02 15:26:13,CCTV-33
user-4,2024-01-02 15:26:14,CCTV-33
user-32,2024-01-02 15:26:15,CCTV-24
user-31,2024-01-02 15:26:16,CCTV-3
user-2,2024-01-02 15:26:17,CCTV-21
user-39,2024-01-02 15:26:18,CCTV-22
user-44,2024-01-02 15:26:19,CCTV-23
user-41,2024-01-02 15:26:20,CCTV-32
user-30,2024-01-02 15:26:21,CCTV-17
user-39,2024-01-02 15:26:22,CCTV-3
user-43,2024-01-02 15:26:23,CCTV-16
user-12,2024-01-02 15:26:43,CCTV-26
user-7,2024-01-02 15:26:43,CCTV-41
user-39,2024-01-02 15:26:43,CCTV-6
user-22,2024-01-02 15:26:43,CCTV-22
user-23,2024-01-02 15:26:43,CCTV-14
user-2,2024-01-02 15:26:44,CCTV-31
user-29,2024-01-02 15:26:44,CCTV-40
user-31,2024-01-02 15:26:44,CCTV-15
user-8,2024-01-02 15:26:53,CCTV-37
user-3,2024-01-02 15:26:53,CCTV-41
user-15,2024-01-02 15:26:53,CCTV-11
user-26,2024-01-02 15:26:53,CCTV-19
user-17,2024-01-02 15:26:53,CCTV-46
user-45,2024-01-02 15:26:53,CCTV-15
user-28,2024-01-02 15:26:54,CCTV-28
user-23,2024-01-02 15:26:54,CCTV-6
user-8,2024-01-02 15:26:54,CCTV-5
user-46,2024-01-02 15:26:54,CCTV-6
user-40,2024-01-02 15:26:54,CCTV-9
user-50,2024-01-02 15:26:54,CCTV-31
user-15,2024-01-02 15:26:54,CCTV-33
user-11,2024-01-02 15:26:54,CCTV-35
user-31,2024-01-02 15:26:54,CCTV-30
user-8,2024-01-02 15:26:54,CCTV-21
user-48,2024-01-02 15:26:54,CCTV-44
user-24,2024-01-02 15:26:54,CCTV-1
user-47,2024-01-02 15:26:55,CCTV-39
user-21,2024-01-02 15:26:55,CCTV-18
user-45,2024-01-02 15:26:55,CCTV-4
user-35,2024-01-02 15:26:55,CCTV-1
user-21,2024-01-02 15:26:55,CCTV-19
user-11,2024-01-02 15:26:55,CCTV-21
user-39,2024-01-02 15:26:55,CCTV-28
user-18,2024-01-02 15:26:55,CCTV-49
user-38,2024-01-02 15:26:55,CCTV-43
user-9,2024-01-02 15:26:55,CCTV-7
user-26,2024-01-02 15:26:55,CCTV-15
user-35,2024-01-02 15:26:55,CCTV-38
user-8,2024-01-02 15:26:55,CCTV-38
user-38,2024-01-02 15:26:56,CCTV-29
user-3,2024-01-02 15:26:56,CCTV-42
user-26,2024-01-02 15:26:56,CCTV-17
user-18,2024-01-02 15:26:56,CCTV-30
user-16,2024-01-02 15:26:56,CCTV-43
user-31,2024-01-02 15:26:56,CCTV-7
user-14,2024-01-02 15:26:56,CCTV-12
user-18,2024-01-02 15:26:56,CCTV-17
user-23,2024-01-02 15:26:56,CCTV-43
user-1,2024-01-02 15:26:56,CCTV-8
user-28,2024-01-02 15:26:56,CCTV-49
user-5,2024-01-02 15:26:56,CCTV-47
user-18,2024-01-02 15:26:57,CCTV-43
user-43,2024-01-02 15:26:57,CCTV-31
user-24,2024-01-02 15:26:57,CCTV-28
